Title,Topic1,Stitle,Sentiment
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂","女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",0.6651818148294937
有哪些是你健身之后才知道的伪健身知识？,"健身, 健身教练, 健身房, 健身指导","之前看过一些小视频，说什么一个动作廋腹，一个动作瘦腿，一个动作廋手臂之类的，视频中基本都是一些身材还比较不错的女性，做一些有违解剖学的动作。我就想说，这些动作你自己学就可以了，为什么要出来祸害小白。
本题已加入知乎圆桌「 瘦身季 | 燃脂计划」： 在宅家的近两个月中，你变胖了吗？面对即将到来的夏天，以及有点变紧的夏装，美体瘦身成为了不少知友热议的话题，随着气温升高，大家也逐渐开始参与户外运动。养成良好的健身习惯不仅能帮助我们维持美好的身形，更能带给我们健康的体质，也是非常时尚且有益的生活方式。
点击圆桌链接>>>",0.9246010785882269
究竟多大的运动量，运动多久才开始消耗脂肪？,"健身, 运动, 慢跑, 减脂, 健身与减脂","看网上说多久的都有，20分钟,30分钟，到底是怎么样啊，我经常慢跑，慢跑的标准又是多少呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",0.6878449822340441
运动减肥期间，饮食、运动、睡眠，哪一点最重要？,"减肥, 运动健身, 运动过春天","女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",0.6519920210734668
健身练哪部分肌肉会让人变得挺拔？,"健身, 健身教练, 健身器材, 健身与减脂, 健身塑形",最近看到有人说波比跳是世界公认的燃脂最快的动作，为什么这么说？慢跑难道不如波比跳吗？求教。,0.7799979362106724
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂","看网上说多久的都有，20分钟,30分钟，到底是怎么样啊，我经常慢跑，慢跑的标准又是多少呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",0.8875639602505513
波比跳减脂真的很快吗？,"健身, 减脂","减肥运动加控制饮食40天瘦了8斤，脂肪减掉6斤，肌肉掉了2斤，基础代谢掉了一百多卡。感觉饮食控制有些过狠，经常感觉很饥饿，这样健康吗？
还有怎样能减脂的同时保持基础代谢与肌肉量呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",0.8590238296207345
多大的运动量，运动多久才开始消耗脂肪？,"健身, 运动, 慢跑, 减脂, 健身与减脂",我是一个体质偏瘦的人，不！应该是很瘦。我182cm只有60kg，然后我坚持了半年的健身一直都吃增肌粉，也确实长了20斤。我想问是不是我需要一直服用增肌粉？还是该换乳清蛋白粉了？卖家告诉我两个可以一起喝，我差点就相信了呢。,0.704455388754233
运动减肥期间，饮食、运动、睡眠，哪一点最重要？,"减肥, 运动健身, 运动过春天","女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",0.6519920210734668
怎样减脂的同时保持基础代谢与肌肉量，如何减肥少掉／不掉肌肉？,"健身, 减肥, 增肌, 健身与减脂, 健身增肌",最近刚刚开始健身，一开始先跑30min接着进行器械和一些增强腹部肌肉的动作。基本上每次整个过程2小时。隔天运动。想知道这样有效率吗，还是应该把顺序反过来？？,0.9851605467426161
