Title,Topics,Likes,Followers,Views,Stitle,Unnamed: 6
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂",378,8332,4397076,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
有哪些是你健身之后才知道的伪健身知识？,"健身, 健身教练, 健身房, 健身指导",1969,73124,37935994,"之前看过一些小视频，说什么一个动作廋腹，一个动作瘦腿，一个动作廋手臂之类的，视频中基本都是一些身材还比较不错的女性，做一些有违解剖学的动作。我就想说，这些动作你自己学就可以了，为什么要出来祸害小白。
本题已加入知乎圆桌「 瘦身季 | 燃脂计划」： 在宅家的近两个月中，你变胖了吗？面对即将到来的夏天，以及有点变紧的夏装，美体瘦身成为了不少知友热议的话题，随着气温升高，大家也逐渐开始参与户外运动。养成良好的健身习惯不仅能帮助我们维持美好的身形，更能带给我们健康的体质，也是非常时尚且有益的生活方式。
点击圆桌链接>>>",
究竟多大的运动量，运动多久才开始消耗脂肪？,"健身, 运动, 慢跑, 减脂, 健身与减脂",56,3023,1551080,"看网上说多久的都有，20分钟,30分钟，到底是怎么样啊，我经常慢跑，慢跑的标准又是多少呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
运动减肥期间，饮食、运动、睡眠，哪一点最重要？,"减肥, 运动健身, 运动过春天",1,126,42530,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
健身练哪部分肌肉会让人变得挺拔？,"健身, 健身教练, 健身器材, 健身与减脂, 健身塑形",212,14059,2275439,最近看到有人说波比跳是世界公认的燃脂最快的动作，为什么这么说？慢跑难道不如波比跳吗？求教。,
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂",378,8332,4397082,"看网上说多久的都有，20分钟,30分钟，到底是怎么样啊，我经常慢跑，慢跑的标准又是多少呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
波比跳减脂真的很快吗？,"健身, 减脂",2065,17263,11686632,"减肥运动加控制饮食40天瘦了8斤，脂肪减掉6斤，肌肉掉了2斤，基础代谢掉了一百多卡。感觉饮食控制有些过狠，经常感觉很饥饿，这样健康吗？
还有怎样能减脂的同时保持基础代谢与肌肉量呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
多大的运动量，运动多久才开始消耗脂肪？,"健身, 运动, 慢跑, 减脂, 健身与减脂",56,3023,1551083,我是一个体质偏瘦的人，不！应该是很瘦。我182cm只有60kg，然后我坚持了半年的健身一直都吃增肌粉，也确实长了20斤。我想问是不是我需要一直服用增肌粉？还是该换乳清蛋白粉了？卖家告诉我两个可以一起喝，我差点就相信了呢。,
运动减肥期间，饮食、运动、睡眠，哪一点最重要？,"减肥, 运动健身, 运动过春天",1,126,42533,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
怎样减脂的同时保持基础代谢与肌肉量，如何减肥少掉／不掉肌肉？,"健身, 减肥, 增肌, 健身与减脂, 健身增肌",27,3636,799576,最近刚刚开始健身，一开始先跑30min接着进行器械和一些增强腹部肌肉的动作。基本上每次整个过程2小时。隔天运动。想知道这样有效率吗，还是应该把顺序反过来？？,
瘦子健身一直选择增肌粉还是该换蛋白粉？,"生活, 健身, 增肌, 增肌粉, 健身增肌",285,2664,3303052,"减肥运动加控制饮食40天瘦了8斤，脂肪减掉6斤，肌肉掉了2斤，基础代谢掉了一百多卡。感觉饮食控制有些过狠，经常感觉很饥饿，这样健康吗？
还有怎样能减脂的同时保持基础代谢与肌肉量呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂",378,8332,4397088,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
去健身房，目的减脂，是先无氧后有氧还是相反？,"健身, 减脂, 健身与减脂",5,38,60234,我是一个体质偏瘦的人，不！应该是很瘦。我182cm只有60kg，然后我坚持了半年的健身一直都吃增肌粉，也确实长了20斤。我想问是不是我需要一直服用增肌粉？还是该换乳清蛋白粉了？卖家告诉我两个可以一起喝，我差点就相信了呢。,
怎样减脂的同时保持基础代谢与肌肉量，如何减肥少掉／不掉肌肉？,"健身, 减肥, 增肌, 健身与减脂, 健身增肌",27,3636,799577,因为是学生党 没有太多钱买课请私教什么的 想去健身房办个卡自己练可以吗 主要是因为之前节食减肥 基代都降低了 稍微吃点东西就长胖 心好累 这次换了校区 学校周围有健身房了 想办卡去练练 而且自己是健身小白 希望得到大神指导！ 谢谢啦 有什么运动可以自己在健身房练？ 什么样子的运动可以提高基代？,
为什么好多黑人健身后肌肉很强壮，而在中国却不常见这种肌肉强壮的人呢？,"健身, 肌肉, 黑人",73,3266,12481222,"一个困扰我许久的问题，假设一个人的基础代谢是1200，那她每天吃1000卡，和吃1400卡运动掉400卡，吗，这两者有什么本质区别吗？
为什么都强调必须吃够基础代谢呢？
题主专业和生物沾点边，我的理解是食物吃下去之后有一个复杂的消化过程，主要通过这个过程来供能基础代谢，运动之后减掉的就是多余的糖原和脂肪，但这样一想当人没吃够的时候，身体不也是会分解糖原和脂肪供能吗，这两者有什么区别呢？现在很多人说不吃够会掉肌肉之类的，但我记得书上说身体是不会优先分解肌肉的吧，当热量差较小的时候吃没吃够真的重要吗？",
上班族怎么高效利用下班时间健身？,"健身, 运动, 健身与减脂, 职场人, 运动过春天",34,227,64932,一说主要应该看全天消耗的总热量，包括基础代谢，各种身体，头脑活动，锻炼等等;还有一说是最好看你所做的锻炼（无论各种类型）脂肪供能所占百分比，因为一天总消耗也可能是糖类成为主要供能，轮不到脂肪消耗。我现在云里雾里了，到底该看哪一点呢？,
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂",378,8332,4397093,从160斤减到130斤（前期跑步后期跑步加器械训练），肚子明显瘦了一圈，但是脂肪仍然很厚（目前腰围86cm身高175cm），请问接下来如何进行？,
瘦子健身一直选择增肌粉还是该换蛋白粉？,"生活, 健身, 增肌, 增肌粉, 健身增肌",285,2664,3303054,一说主要应该看全天消耗的总热量，包括基础代谢，各种身体，头脑活动，锻炼等等;还有一说是最好看你所做的锻炼（无论各种类型）脂肪供能所占百分比，因为一天总消耗也可能是糖类成为主要供能，轮不到脂肪消耗。我现在云里雾里了，到底该看哪一点呢？,
